runningId,oid_mivne,id_binyan,t_sug_mivne,ms_komot,shem_mivne,t_amudim,id_binyan_orig,gova2009
,20915,22392,____ ____,4,,__,74178,15
,20916,22394,____ ____,3,,__,79229,19
,20917,22395,____ ____,1,,__,56945,22
,20918,22396,____ ____,6,,__,55271,29
,20919,22397,____ ____,6,,__,74812,23
,20921,22399,____ ____,4,,_____ ____ ______,74466,17
,20934,22412,____ ____,4,,__,74469,17
,20935,22413,____ ____,4,,__,74468,15
,20936,22414,____ ____,7,,__,74875,29
,20937,22415,____ ____,3,,__,74809,20
,20938,22416,____ ____,4,,__,74810,20
,20939,22417,____ ____,3,,__,55270,16
,20940,22418,____ ____,3,,__,74816,16
,20947,22425,____ ____,4,,_____ ____ ______,74467,17
,20948,22426,____ ____,1,,__,73327,6
,20949,22427,____ ____,4,,__,73328,17
,20950,22428,____ ____,4,,__,73322,17
,20951,22429,____ ____,4,,__,55267,17
,20952,22430,____ ____,4,,__,74761,20
,20953,22431,____ ____,4,,__,74763,20
,20954,22432,____ ____,6,,__,74730,21
,20955,22433,____ ____,4,,_____ ____ ______,74185,14
,20956,22434,____ ____,2,,__,74835,22
,20957,22435,____ ____,2,,__,55318,11
,20958,22436,____ ____,3,,__,74699,12
,20959,22437,____ ____,4,,_____ ____ ______,74774,17
,20960,22438,____ ____,7,,__,74772,29
,20961,22439,____ ____,3,,_____ ____ ______,74805,14
,20962,22440,____ ____,5,,__,74762,22
,20963,22441,____ ____,4,,__,74274,14
,20964,22443,____ ____,5,,__,74068,24
,20965,22444,____ ____,3,,__,74393,17
,20966,22445,____ ____,4,,__,55269,17
,20967,22446,____ ____,4,,__,55268,19
,20968,22447,____ ____,3,,__,74271,14
,20969,22448,____ ____,3,,__,75386,16
,20970,22449,____ ____,4,,_____ ____ ______,74864,16
,20987,22466,____ ____,4,,_____ ____ ______,74868,17
,20988,22467,____ ____,4,,_____ ____ ______,142785,17
,20989,22468,____ ____,3,,__,74166,20
,20990,22469,____ ____,4,,__,74164,20
