runningId,oid_chelka,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum
,467,6959,0,32,282
,469,6957,0,5,275
,471,6961,0,106,417
,480,6959,0,108,325
,523,6958,0,34,553
,525,6958,0,123,533
,527,6958,0,30,557
,528,6957,0,99,281
,529,6957,0,240,10
,530,6957,0,98,279
,533,6957,0,253,10
,814,6958,0,170,29
,834,6961,0,107,17
,835,6958,0,29,570
,837,6961,0,66,436
,838,6958,0,32,562
,840,6957,0,203,369
,841,6957,0,243,10
,842,6212,0,408,544
,845,6957,0,252,271
,1402,6958,0,124,249
,1405,6958,0,17,323
,1787,6959,0,77,486
,1788,6958,0,125,63
,1790,6958,0,122,29
,1791,6957,0,16,281
,1792,6958,0,16,304
,1795,6962,0,183,295
,2070,6959,0,48,449
,2071,6957,0,64,286
,2079,6902,0,241,274
,2080,6214,0,345,535
,2081,6902,0,116,284
,2116,6963,0,15,331
,2119,6958,0,133,1
,2121,6958,0,146,11
,2123,6212,0,483,2404
,2124,6959,0,75,6059
,2160,6958,0,161,293
,2165,6959,0,35,316
,2167,6959,0,87,545
,2170,6957,0,79,280
,2171,6959,0,97,270
,2228,6959,0,109,13
,2310,6902,0,182,8
,2311,6902,0,185,12
,2325,6963,0,44,296
,2328,6963,0,45,281
,2331,6963,0,46,282
,2336,6962,0,191,48
,2340,6962,0,199,18
,2343,6962,0,193,268
,2347,6962,0,167,604
,2351,6963,0,51,282
,2353,6963,0,41,279
,2357,6963,0,40,277
,2361,6963,0,9,283
,2367,6212,0,471,526
,2368,6212,0,470,545
,2428,6962,0,38,310
,2437,6963,0,58,278
,2460,6963,0,78,273
,2469,6963,0,16,2922
,2474,6963,0,81,10
,2475,6963,0,30,282
,2514,6962,0,59,280
,2521,6962,0,37,314
,2522,6963,0,20,275
,2526,6958,0,128,578
,2535,6958,0,70,598
,2539,6961,0,4,280
,2540,6958,0,69,469
,2541,6958,0,74,1437
,2543,6958,0,65,470
,2546,6959,0,10,340
,2549,6959,0,7,326
,2553,6961,0,8,282
,2650,6958,0,60,1522
,2651,6961,0,16,280
,2653,6959,0,2,337
,2661,6958,0,85,478
,2662,6961,0,10,308
,2667,6961,0,54,452
,2810,6959,0,105,663
,2814,6961,0,19,280
,2816,6959,0,17,686
,2817,6958,0,151,22
,2820,6958,0,138,870
,2825,6959,0,25,339
,2826,6958,0,120,294
,2828,6958,0,160,14
,2829,6958,0,148,22
,2830,6959,0,22,366
,2968,6961,0,60,1099
,2969,6958,0,86,169
,2971,6958,0,152,459
,2972,6958,0,115,16
,2979,6959,0,122,35
,2983,6961,0,58,458
,2990,6959,0,114,433
,2993,6958,0,36,309
,2994,6957,0,6,285
,2996,6212,0,415,510
,3000,6959,0,111,12
,3003,6959,0,39,340
,3004,6961,0,67,442
,3008,6958,0,13,324
,3038,6962,0,184,122
,3039,6958,0,110,3218
